scope,split,metric,value
raw,all,images,1699
raw,all,labels,1699
raw,all,boxes_total,11604
raw,all,boxes_blue,543
raw,all,boxes_glass,532
raw,all,boxes_head,730
raw,all,boxes_person,4674
raw,all,boxes_red,496
raw,all,boxes_vest,2137
raw,all,boxes_white,1292
raw,all,boxes_yellow,1200
processed,all,images_excluded_for_review,1
processed,all,near_duplicate_pairs,27
processed,train,images,1358
processed,train,boxes_person,3743
processed,train,boxes_head,584
processed,train,boxes_helmet,2825
processed,train,boxes_vest,1710
processed,train,boxes_glass,425
processed,val,images,170
processed,val,boxes_person,468
processed,val,boxes_head,73
processed,val,boxes_helmet,354
processed,val,boxes_vest,214
processed,val,boxes_glass,54
processed,test,images,170
processed,test,boxes_person,463
processed,test,boxes_head,73
processed,test,boxes_helmet,352
processed,test,boxes_vest,213
processed,test,boxes_glass,53
