image_a,image_b,dhash_distance,mean_luma_difference,same_source_id,action
data/interim/chvg_source/train/images/gettyimages-823328086-612x612_jpg.rf.5c4c6063f1acbabe34f08458f53deab1.jpg,data/interim/chvg_source/train/images/ppe_0301_jpg.rf.ad22c8634052994326c5efa4062db735.jpg,1,0.363,false,keep_in_same_split
data/interim/chvg_source/train/images/part2_000007_jpg.rf.d487b6998eed1fafc13f1589bbb2b97f.jpg,data/interim/chvg_source/train/images/ppe_0163_jpg.rf.e6cd994d7925e7ad56a337ab1c8a7366.jpg,0,0.363,false,keep_in_same_split
data/interim/chvg_source/train/images/part2_000363_jpg.rf.279a9ff7089428693348102d644f67dc.jpg,data/interim/chvg_source/train/images/ppe_0053_jpg.rf.27b9cac1d77fb7220342ca88d27e0347.jpg,0,0.527,false,keep_in_same_split
data/interim/chvg_source/train/images/part2_001887_jpg.rf.efceaebb6699175125f0068c51cff8a2.jpg,data/interim/chvg_source/train/images/ppe_0549_jpg.rf.d3eb0d75f178639ca79ea8cdd88b9f5f.jpg,0,0.516,false,keep_in_same_split
data/interim/chvg_source/train/images/part2_002298_jpg.rf.84e5c46bb6aca2af5e7897543601b489.jpg,data/interim/chvg_source/train/images/ppe_0310_jpg.rf.31a13dcbeefdc30c81d367ed7b79ba73.jpg,0,0.223,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0059_jpg.rf.8b35d5d43ca7926e4d64d7a226aa0acd.jpg,data/interim/chvg_source/train/images/ppe_0975_jpg.rf.f65b129a0e7ef2f84a1e7c0b05f18020.jpg,0,0.012,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0088_jpg.rf.58ec8f940dfc0ccb0d702f04b110ef8e.jpg,data/interim/chvg_source/train/images/ppe_1196_jpg.rf.24642bcdcd4773a8968218cc0878b97c.jpg,0,0.039,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0101_jpg.rf.69ca0c41039148c87004edbaba42104b.jpg,data/interim/chvg_source/train/images/ppe_1074_jpg.rf.fde86ed4af7af05142cc9f0e6c217e8b.jpg,0,0.023,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0344_jpg.rf.c83ec40ed715bea730972f9345c10ba2.jpg,data/interim/chvg_source/train/images/ppe_1056_jpg.rf.60ed8018c8b576fc70210df4a1b0cdeb.jpg,0,0.004,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0418_jpg.rf.a11646c849cc51c639585332392f3616.jpg,data/interim/chvg_source/train/images/ppe_0607_jpg.rf.91fdb37f2882559264a5435f66c0ea37.jpg,0,0.062,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_0546_jpg.rf.2fa6d725ca51862ec00df118219de960.jpg,data/interim/chvg_source/train/images/ppe_0567_jpg.rf.09e1466468962a3f1b5dc649523d2368.jpg,0,0.418,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1106_jpg.rf.81d44f154de29397b651dc07e812641c.jpg,data/interim/chvg_source/train/images/ppe_1206_jpg.rf.1d985a529664c8eba0ab2606f16b8dda.jpg,2,1.672,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1218_jpg.rf.172d528a83c4ba6c9f8fca3821e69b10.jpg,2,1.055,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1259_jpg.rf.e5d7c958f3e87010a7c5bc0ca2619603.jpg,1,0.793,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1267_jpg.rf.0e317a008da55f43b41352477b529c1e.jpg,1,0.277,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1276_jpg.rf.10394b473378b91d7d61ac4ac3f079bf.jpg,2,2.086,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1294_jpg.rf.946ce1563c166d7780caf8410d479d70.jpg,2,0.215,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1208_jpg.rf.019c4eb5ed27cc85c94f8d2669d48993.jpg,data/interim/chvg_source/train/images/ppe_1295_jpg.rf.4a8647f3b2eeb85b8b60e9a014483cff.jpg,1,2.008,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1218_jpg.rf.172d528a83c4ba6c9f8fca3821e69b10.jpg,data/interim/chvg_source/train/images/ppe_1259_jpg.rf.e5d7c958f3e87010a7c5bc0ca2619603.jpg,1,0.262,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1218_jpg.rf.172d528a83c4ba6c9f8fca3821e69b10.jpg,data/interim/chvg_source/train/images/ppe_1267_jpg.rf.0e317a008da55f43b41352477b529c1e.jpg,1,1.332,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1218_jpg.rf.172d528a83c4ba6c9f8fca3821e69b10.jpg,data/interim/chvg_source/train/images/ppe_1276_jpg.rf.10394b473378b91d7d61ac4ac3f079bf.jpg,2,3.141,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1218_jpg.rf.172d528a83c4ba6c9f8fca3821e69b10.jpg,data/interim/chvg_source/train/images/ppe_1294_jpg.rf.946ce1563c166d7780caf8410d479d70.jpg,2,1.27,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1259_jpg.rf.e5d7c958f3e87010a7c5bc0ca2619603.jpg,data/interim/chvg_source/train/images/ppe_1267_jpg.rf.0e317a008da55f43b41352477b529c1e.jpg,0,1.07,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1259_jpg.rf.e5d7c958f3e87010a7c5bc0ca2619603.jpg,data/interim/chvg_source/train/images/ppe_1294_jpg.rf.946ce1563c166d7780caf8410d479d70.jpg,1,1.008,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1259_jpg.rf.e5d7c958f3e87010a7c5bc0ca2619603.jpg,data/interim/chvg_source/train/images/ppe_1295_jpg.rf.4a8647f3b2eeb85b8b60e9a014483cff.jpg,2,2.801,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1267_jpg.rf.0e317a008da55f43b41352477b529c1e.jpg,data/interim/chvg_source/train/images/ppe_1294_jpg.rf.946ce1563c166d7780caf8410d479d70.jpg,1,0.062,false,keep_in_same_split
data/interim/chvg_source/train/images/ppe_1267_jpg.rf.0e317a008da55f43b41352477b529c1e.jpg,data/interim/chvg_source/train/images/ppe_1295_jpg.rf.4a8647f3b2eeb85b8b60e9a014483cff.jpg,2,1.73,false,keep_in_same_split
